Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
55,1.129,5.829,1.189,0.727,1.000,41.052,42.370,16.012,17.330,0.266,2.131,41.746,16.652,1.476,41.746,16.652,1.476,0.923,0.645,0.580,82.940,71.316,-35.203,1.433,1.592,1.112,41.645,16.474,1.332,0.242
56,11.728,36.708,4.767,0.315,2.000,36.044,41.645,15.815,18.714,0.266,2.397,38.450,17.098,1.241,38.450,17.098,1.241,2.710,1.510,0.913,0.072,1.767,-161.279,1.795,2.968,1.654,39.734,16.539,1.332,0.264
57,1.951,8.087,1.375,0.814,1.000,9.621,11.466,17.660,18.978,0.266,1.864,10.578,18.314,1.079,10.578,18.314,1.079,1.027,0.783,0.699,-8.046,-20.104,89.179,1.312,1.468,1.119,10.279,18.253,0.799,0.242
58,3.684,12.118,1.867,0.863,1.000,53.506,55.417,17.198,19.439,0.266,2.131,54.475,18.321,1.234,54.475,18.321,1.234,1.210,1.003,0.846,-59.438,-20.579,-179.455,1.207,1.431,1.186,54.560,17.791,1.065,0.242
59,1.610,7.307,1.414,0.751,1.000,18.516,20.032,17.791,19.439,0.266,1.598,19.276,18.641,0.981,19.276,18.641,0.981,0.944,0.815,0.648,80.206,23.730,11.610,1.158,1.457,1.259,19.571,18.978,0.533,0.176
60,3.051,11.920,1.834,0.621,1.000,35.846,37.889,18.319,20.427,0.266,1.864,36.836,19.455,0.975,36.836,19.455,0.975,1.298,0.940,0.765,50.171,0.877,-11.210,1.381,1.698,1.229,37.098,20.032,0.799,0.242
61,3.667,13.004,1.725,0.692,1.000,63.456,65.631,18.055,19.900,0.266,2.397,64.515,19.005,1.430,64.515,19.005,1.430,1.212,1.158,0.725,-36.519,-39.575,145.121,1.046,1.670,1.597,64.379,19.439,0.799,0.242
62,2.118,8.833,1.480,0.737,1.000,53.638,55.746,19.373,20.823,0.266,1.864,54.846,20.151,1.040,54.846,20.151,1.040,1.141,0.788,0.712,-23.722,-10.993,114.679,1.448,1.602,1.107,54.890,19.768,0.799,0.242
63,0.016,0.272,0.221,1.472,1.000,18.648,18.978,19.702,19.900,0.266,0.533,18.803,19.796,0.399,18.803,19.796,0.399,0.333,0.260,0.202,-92.223,-90.000,-4.938,1.280,1.647,1.287,18.714,19.768,0.266,0.110
64,1.368,6.957,1.312,0.629,1.000,58.778,60.491,19.373,20.691,0.266,1.864,59.628,20.142,1.146,59.628,20.142,1.146,0.942,0.773,0.606,16.747,-13.330,-120.454,1.219,1.554,1.274,59.766,20.229,1.065,0.242
65,1.474,8.151,1.802,0.454,1.000,41.118,42.699,18.384,20.361,0.266,2.131,41.852,19.494,1.194,41.852,19.494,1.194,1.228,0.711,0.636,-62.758,-31.445,-147.456,1.729,1.933,1.118,41.645,20.032,0.533,0.176
66,2.537,9.846,1.532,0.763,1.000,21.218,23.722,19.900,21.152,0.266,1.598,22.379,20.488,0.960,22.379,20.488,0.960,1.437,0.822,0.628,-6.158,-6.272,114.856,1.749,2.288,1.308,21.613,20.361,0.799,0.242
